vref,Protasis,Protasis IDs,Protasis Glosses,Protasis Greek,Apodosis,Apodosis IDs,Apodosis Glosses,Apodosis Greek,result,Duplicates,Possible_Tokens
LUK 6:4,but the priests to eat,"('n42006004024', 'n42006004025', 'n42006004026', 'n42006004027', 'n42006004028')","('if', 'not', 'only', 'to the', 'priests')","('εἰ', 'μὴ', 'μόνους', 'τοὺς', 'ἱερεῖς')",which is not lawful for any,"('n42006004020', 'n42006004021', 'n42006004022', 'n42006004023')","('which', 'not', 'it is lawful', 'to eat')","('οὓς', 'οὐ', 'ἔξεστιν', 'φαγεῖν')",pass,,"[('n42006004001', 'how', 'ὡς'), ('n42006004002', 'he entered', 'εἰσῆλθεν'), ('n42006004003', 'into', 'εἰς'), ('n42006004004', 'the', 'τὸν'), ('n42006004005', 'house', 'οἶκον'), ('n42006004006', '-', 'τοῦ'), ('n42006004007', 'of God', 'θεοῦ'), ('n42006004008', 'and', 'καὶ'), ('n42006004009', 'the', 'τοὺς'), ('n42006004010', 'loaves', 'ἄρτους'), ('n42006004011', 'of the', 'τῆς'), ('n42006004012', 'presentation', 'προθέσεως'), ('n42006004013', 'having taken', 'λαβὼν'), ('n42006004014', 'ate', 'ἔφαγεν'), ('n42006004015', 'and', 'καὶ'), ('n42006004016', 'gave', 'ἔδωκεν'), ('n42006004017', 'to those', 'τοῖς'), ('n42006004018', 'with', 'μετ’'), ('n42006004019', 'him', 'αὐτοῦ'), ('n42006004020', 'which', 'οὓς'), ('n42006004021', 'not', 'οὐ'), ('n42006004022', 'it is lawful', 'ἔξεστιν'), ('n42006004023', 'to eat', 'φαγεῖν'), ('n42006004024', 'if', 'εἰ'), ('n42006004025', 'not', 'μὴ'), ('n42006004026', 'only', 'μόνους'), ('n42006004027', 'to the', 'τοὺς'), ('n42006004028', 'priests', 'ἱερεῖς')]"
LUK 6:7,NaN,"('n42006007003', 'n42006007004', 'n42006007005', 'n42006007006', 'n42006007007', 'n42006007008', 'n42006007009', 'n42006007010', 'n42006007011')","('the', 'scribes', 'and', 'the', 'Pharisees', 'whether', 'on', 'the', 'Sabbath')","('οἱ', 'γραμματεῖς', 'καὶ', 'οἱ', 'Φαρισαῖοι', 'εἰ', 'ἐν', 'τῷ', 'σαββάτῳ')",NaN,"('n42006007012', 'n42006007013', 'n42006007014', 'n42006007015', 'n42006007016')","('He will heal', 'that', 'they might find [reason]', 'to accuse', 'Him')","('θεραπεύει', 'ἵνα', 'εὕρωσιν', 'κατηγορεῖν', 'αὐτοῦ')",pass,,"[('n42006007001', 'Were closely watching', 'παρετηροῦντο'), ('n42006007002', 'now', 'δὲ'), ('n42006007003', 'the', 'οἱ'), ('n42006007004', 'scribes', 'γραμματεῖς'), ('n42006007005', 'and', 'καὶ'), ('n42006007006', 'the', 'οἱ'), ('n42006007007', 'Pharisees', 'Φαρισαῖοι'), ('n42006007008', 'whether', 'εἰ'), ('n42006007009', 'on', 'ἐν'), ('n42006007010', 'the', 'τῷ'), ('n42006007011', 'Sabbath', 'σαββάτῳ'), ('n42006007012', 'He will heal', 'θεραπεύει'), ('n42006007013', 'that', 'ἵνα'), ('n42006007014', 'they might find [reason]', 'εὕρωσιν'), ('n42006007015', 'to accuse', 'κατηγορεῖν'), ('n42006007016', 'Him', 'αὐτοῦ')]"
LUK 6:9,NaN,"('n42006009007', 'n42006009008', 'n42006009009', 'n42006009010', 'n42006009011', 'n42006009012')","('I ask', 'you', 'whether', 'it is lawful', 'on the', 'Sabbath')","('Ἐπερωτῶ', 'ὑμᾶς', 'εἰ', 'ἔξεστιν', 'τῷ', 'σαββάτῳ')",NaN,"('n42006009013', 'n42006009014', 'n42006009015', 'n42006009016', 'n42006009017', 'n42006009018', 'n42006009019')","('to do good', 'or', 'to do evil', 'Life', 'to save', 'or', 'to destroy')","('ἀγαθοποιῆσαι', 'ἢ', 'κακοποιῆσαι', 'ψυχὴν', 'σῶσαι', 'ἢ', 'ἀπολέσαι')",pass,,"[('n42006009001', 'Said', 'εἶπεν'), ('n42006009002', 'then', 'δὲ'), ('n42006009003', '-', 'ὁ'), ('n42006009004', 'Jesus', 'Ἰησοῦς'), ('n42006009005', 'to', 'πρὸς'), ('n42006009006', 'them', 'αὐτούς'), ('n42006009007', 'I ask', 'Ἐπερωτῶ'), ('n42006009008', 'you', 'ὑμᾶς'), ('n42006009009', 'whether', 'εἰ'), ('n42006009010', 'it is lawful', 'ἔξεστιν'), ('n42006009011', 'on the', 'τῷ'), ('n42006009012', 'Sabbath', 'σαββάτῳ'), ('n42006009013', 'to do good', 'ἀγαθοποιῆσαι'), ('n42006009014', 'or', 'ἢ'), ('n42006009015', 'to do evil', 'κακοποιῆσαι'), ('n42006009016', 'Life', 'ψυχὴν'), ('n42006009017', 'to save', 'σῶσαι'), ('n42006009018', 'or', 'ἢ'), ('n42006009019', 'to destroy', 'ἀπολέσαι')]"
LUK 7:23,who is not offended by me,"('n42007023004', 'n42007023005', 'n42007023006', 'n42007023007', 'n42007023008', 'n42007023009')","('who', 'if', 'not', 'shall be offended', 'in', 'Me')","('ὃς', 'ἐὰν', 'μὴ', 'σκανδαλισθῇ', 'ἐν', 'ἐμοί')",and blessed is the one,"('n42007023001', 'n42007023002', 'n42007023003')","('And', 'blessed', 'is')","('καὶ', 'μακάριός', 'ἐστιν')",pass,,"[('n42007023001', 'And', 'καὶ'), ('n42007023002', 'blessed', 'μακάριός'), ('n42007023003', 'is', 'ἐστιν'), ('n42007023004', 'who', 'ὃς'), ('n42007023005', 'if', 'ἐὰν'), ('n42007023006', 'not', 'μὴ'), ('n42007023007', 'shall be offended', 'σκανδαλισθῇ'), ('n42007023008', 'in', 'ἐν'), ('n42007023009', 'Me', 'ἐμοί')]"
LUK 8:51,"except Peter and John and James, and the father and mother of the child","('n42008051012', 'n42008051013', 'n42008051014', 'n42008051015', 'n42008051016', 'n42008051017', 'n42008051018', 'n42008051019', 'n42008051020', 'n42008051021', 'n42008051022', 'n42008051023')","('if', 'not', 'Peter', 'and', 'John', 'and', 'James', 'and', 'the', 'father', 'of the', 'child')","('εἰ', 'μὴ', 'Πέτρον', 'καὶ', 'Ἰωάννην', 'καὶ', 'Ἰάκωβον', 'καὶ', 'τὸν', 'πατέρα', 'τῆς', 'παιδὸς')",he allowed no one to enter with him,"('n42008051007', 'n42008051008', 'n42008051009', 'n42008051010', 'n42008051011')","('He did allow', 'to go in', 'anyone', 'with', 'Him')","('ἀφῆκεν', 'εἰσελθεῖν', 'τινα', 'σὺν', 'αὐτῷ')",pass,,"[('n42008051001', 'Having entered', 'ἐλθὼν'), ('n42008051002', 'then', 'δὲ'), ('n42008051003', 'into', 'εἰς'), ('n42008051004', 'the', 'τὴν'), ('n42008051005', 'house', 'οἰκίαν'), ('n42008051006', 'not', 'οὐ'), ('n42008051007', 'He did allow', 'ἀφῆκεν'), ('n42008051008', 'to go in', 'εἰσελθεῖν'), ('n42008051009', 'anyone', 'τινα'), ('n42008051010', 'with', 'σὺν'), ('n42008051011', 'Him', 'αὐτῷ'), ('n42008051012', 'if', 'εἰ'), ('n42008051013', 'not', 'μὴ'), ('n42008051014', 'Peter', 'Πέτρον'), ('n42008051015', 'and', 'καὶ'), ('n42008051016', 'John', 'Ἰωάννην'), ('n42008051017', 'and', 'καὶ'), ('n42008051018', 'James', 'Ἰάκωβον'), ('n42008051019', 'and', 'καὶ'), ('n42008051020', 'the', 'τὸν'), ('n42008051021', 'father', 'πατέρα'), ('n42008051022', 'of the', 'τῆς'), ('n42008051023', 'child', 'παιδὸς'), ('n42008051024', 'and', 'καὶ'), ('n42008051025', 'the', 'τὴν'), ('n42008051026', 'mother', 'μητέρα')]"
LUK 9:48,whoever receives this child in my name,"('N', '')","('',)","('',)",receives me,"('',)","('',)","('',)",fail,,"[('n42009048001', 'and', 'καὶ'), ('n42009048002', 'He said', 'εἶπεν'), ('n42009048003', 'to them', 'αὐτοῖς'), ('n42009048004', 'Whoever', 'Ὃς'), ('n42009048005', nan, 'ἂν'), ('n42009048006', 'shall receive', 'δέξηται'), ('n42009048007', 'this', 'τοῦτο'), ('n42009048008', '-', 'τὸ'), ('n42009048009', 'child', 'παιδίον'), ('n42009048010', 'in', 'ἐπὶ'), ('n42009048011', 'the', 'τῷ'), ('n42009048012', 'name', 'ὀνόματί'), ('n42009048013', 'of Me', 'μου'), ('n42009048014', 'Me', 'ἐμὲ'), ('n42009048015', 'receives', 'δέχεται'), ('n42009048016', 'and', 'καὶ'), ('n42009048017', 'whoever', 'ὃς'), ('n42009048018', '-', 'ἂν'), ('n42009048019', 'Me', 'ἐμὲ'), ('n42009048020', 'shall receive', 'δέξηται'), ('n42009048021', 'receives', 'δέχεται'), ('n42009048022', 'the [One]', 'τὸν'), ('n42009048023', 'having sent', 'ἀποστείλαντά'), ('n42009048024', 'Me', 'με'), ('n42009048025', 'The [one]', 'ὁ'), ('n42009048026', 'for', 'γὰρ'), ('n42009048027', 'least', 'μικρότερος'), ('n42009048028', 'among', 'ἐν'), ('n42009048029', 'all', 'πᾶσιν'), ('n42009048030', 'you', 'ὑμῖν'), ('n42009048031', 'being', 'ὑπάρχων'), ('n42009048032', 'he', 'οὗτός'), ('n42009048033', 'shall be', 'ἐστιν'), ('n42009048034', 'great', 'μέγας')]"
LUK 9:57,wherever you go,"('n42009057013', 'n42009057014', 'n42009057012', 'n42009057015')","('wherever', 'if', 'You', 'You may go')","('ὅπου', 'ἐὰν', 'σοι', 'ἀπέρχῃ')",I will follow you,"('n42009057011', 'n42009057008', 'n42009057009', 'n42009057010')","('I will follow', 'someone', 'to', 'Him')","('Ἀκολουθήσω', 'τις', 'πρὸς', 'αὐτόν')",pass,,"[('n42009057001', 'And', 'Καὶ'), ('n42009057002', 'going', 'πορευομένων'), ('n42009057003', 'of them', 'αὐτῶν'), ('n42009057004', 'along', 'ἐν'), ('n42009057005', 'the', 'τῇ'), ('n42009057006', 'road', 'ὁδῷ'), ('n42009057007', 'said', 'εἶπέν'), ('n42009057008', 'someone', 'τις'), ('n42009057009', 'to', 'πρὸς'), ('n42009057010', 'Him', 'αὐτόν'), ('n42009057011', 'I will follow', 'Ἀκολουθήσω'), ('n42009057012', 'You', 'σοι'), ('n42009057013', 'wherever', 'ὅπου'), ('n42009057014', 'if', 'ἐὰν'), ('n42009057015', 'You may go', 'ἀπέρχῃ')]"
LUK 10:22,except the Father,"('n42010022009', 'n42010022010', 'n42010022011', 'n42010022012', 'n42010022013', 'n42010022014')","('no one', 'knows', 'who', 'is', 'the', 'Son')","('οὐδεὶς', 'γινώσκει', 'τίς', 'ἐστιν', 'ὁ', 'υἱὸς')",and no one knows who the Son is,"('n42010022018', 'n42010022019', 'n42010022020', 'n42010022021', 'n42010022022', 'n42010022023')","('Father', 'and', 'who', 'is', 'the', 'Father')","('πατήρ', 'καὶ', 'τίς', 'ἐστιν', 'ὁ', 'πατὴρ')",pass,,"[('n42010022001', 'All things', 'πάντα'), ('n42010022002', 'to Me', 'μοι'), ('n42010022003', 'have been delivered', 'παρεδόθη'), ('n42010022004', 'by', 'ὑπὸ'), ('n42010022005', 'the', 'τοῦ'), ('n42010022006', 'Father', 'πατρός'), ('n42010022007', 'of Me', 'μου'), ('n42010022008', 'And', 'καὶ'), ('n42010022009', 'no one', 'οὐδεὶς'), ('n42010022010', 'knows', 'γινώσκει'), ('n42010022011', 'who', 'τίς'), ('n42010022012', 'is', 'ἐστιν'), ('n42010022013', 'the', 'ὁ'), ('n42010022014', 'Son', 'υἱὸς'), ('n42010022015', 'if', 'εἰ'), ('n42010022016', 'not', 'μὴ'), ('n42010022017', 'the', 'ὁ'), ('n42010022018', 'Father', 'πατήρ'), ('n42010022019', 'and', 'καὶ'), ('n42010022020', 'who', 'τίς'), ('n42010022021', 'is', 'ἐστιν'), ('n42010022022', 'the', 'ὁ'), ('n42010022023', 'Father', 'πατὴρ'), ('n42010022024', 'if', 'εἰ'), ('n42010022025', 'not', 'μὴ'), ('n42010022026', 'the', 'ὁ'), ('n42010022027', 'Son', 'υἱὸς'), ('n42010022028', 'and', 'καὶ'), ('n42010022029', 'to whom', 'ᾧ'), ('n42010022030', 'if', 'ἐὰν'), ('n42010022031', 'might resolve', 'βούληται'), ('n42010022032', 'the', 'ὁ'), ('n42010022033', 'Son', 'υἱὸς'), ('n42010022034', 'to reveal [Him]', 'ἀποκαλύψαι')]"
LUK 10:22,except the Son,"('n42010022009', 'n42010022010', 'n42010022011', 'n42010022012', 'n42010022013', 'n42010022014')","('no one', 'knows', 'who', 'is', 'the', 'Son')","('οὐδεὶς', 'γινώσκει', 'τίς', 'ἐστιν', 'ὁ', 'υἱὸς')",or who the Father is,"('n42010022018', 'n42010022019', 'n42010022020', 'n42010022021', 'n42010022022', 'n42010022023')","('Father', 'and', 'who', 'is', 'the', 'Father')","('πατήρ', 'καὶ', 'τίς', 'ἐστιν', 'ὁ', 'πατὴρ')",pass,Protasis IDs duplicated,"[('n42010022001', 'All things', 'πάντα'), ('n42010022002', 'to Me', 'μοι'), ('n42010022003', 'have been delivered', 'παρεδόθη'), ('n42010022004', 'by', 'ὑπὸ'), ('n42010022005', 'the', 'τοῦ'), ('n42010022006', 'Father', 'πατρός'), ('n42010022007', 'of Me', 'μου'), ('n42010022008', 'And', 'καὶ'), ('n42010022009', 'no one', 'οὐδεὶς'), ('n42010022010', 'knows', 'γινώσκει'), ('n42010022011', 'who', 'τίς'), ('n42010022012', 'is', 'ἐστιν'), ('n42010022013', 'the', 'ὁ'), ('n42010022014', 'Son', 'υἱὸς'), ('n42010022015', 'if', 'εἰ'), ('n42010022016', 'not', 'μὴ'), ('n42010022017', 'the', 'ὁ'), ('n42010022018', 'Father', 'πατήρ'), ('n42010022019', 'and', 'καὶ'), ('n42010022020', 'who', 'τίς'), ('n42010022021', 'is', 'ἐστιν'), ('n42010022022', 'the', 'ὁ'), ('n42010022023', 'Father', 'πατὴρ'), ('n42010022024', 'if', 'εἰ'), ('n42010022025', 'not', 'μὴ'), ('n42010022026', 'the', 'ὁ'), ('n42010022027', 'Son', 'υἱὸς'), ('n42010022028', 'and', 'καὶ'), ('n42010022029', 'to whom', 'ᾧ'), ('n42010022030', 'if', 'ἐὰν'), ('n42010022031', 'might resolve', 'βούληται'), ('n42010022032', 'the', 'ὁ'), ('n42010022033', 'Son', 'υἱὸς'), ('n42010022034', 'to reveal [Him]', 'ἀποκαλύψαι')]"
LUK 10:22,to whom the Son chooses to reveal him,"('n42010022009', 'n42010022010', 'n42010022011', 'n42010022012', 'n42010022013', 'n42010022014')","('no one', 'knows', 'who', 'is', 'the', 'Son')","('οὐδεὶς', 'γινώσκει', 'τίς', 'ἐστιν', 'ὁ', 'υἱὸς')",and anyone,"('n42010022018', 'n42010022019', 'n42010022020', 'n42010022021', 'n42010022022', 'n42010022023')","('Father', 'and', 'who', 'is', 'the', 'Father')","('πατήρ', 'καὶ', 'τίς', 'ἐστιν', 'ὁ', 'πατὴρ')",pass,Protasis IDs duplicated,"[('n42010022001', 'All things', 'πάντα'), ('n42010022002', 'to Me', 'μοι'), ('n42010022003', 'have been delivered', 'παρεδόθη'), ('n42010022004', 'by', 'ὑπὸ'), ('n42010022005', 'the', 'τοῦ'), ('n42010022006', 'Father', 'πατρός'), ('n42010022007', 'of Me', 'μου'), ('n42010022008', 'And', 'καὶ'), ('n42010022009', 'no one', 'οὐδεὶς'), ('n42010022010', 'knows', 'γινώσκει'), ('n42010022011', 'who', 'τίς'), ('n42010022012', 'is', 'ἐστιν'), ('n42010022013', 'the', 'ὁ'), ('n42010022014', 'Son', 'υἱὸς'), ('n42010022015', 'if', 'εἰ'), ('n42010022016', 'not', 'μὴ'), ('n42010022017', 'the', 'ὁ'), ('n42010022018', 'Father', 'πατήρ'), ('n42010022019', 'and', 'καὶ'), ('n42010022020', 'who', 'τίς'), ('n42010022021', 'is', 'ἐστιν'), ('n42010022022', 'the', 'ὁ'), ('n42010022023', 'Father', 'πατὴρ'), ('n42010022024', 'if', 'εἰ'), ('n42010022025', 'not', 'μὴ'), ('n42010022026', 'the', 'ὁ'), ('n42010022027', 'Son', 'υἱὸς'), ('n42010022028', 'and', 'καὶ'), ('n42010022029', 'to whom', 'ᾧ'), ('n42010022030', 'if', 'ἐὰν'), ('n42010022031', 'might resolve', 'βούληται'), ('n42010022032', 'the', 'ὁ'), ('n42010022033', 'Son', 'υἱὸς'), ('n42010022034', 'to reveal [Him]', 'ἀποκαλύψαι')]"
LUK 11:29,except the sign of Jonah,"('n42011029017', 'n42011029018', 'n42011029019')","('not', 'will be given', 'to it')","('οὐ', 'δοθήσεται', 'αὐτῇ')",but no sign will be given it,"('n42011029020', 'n42011029021', 'n42011029022', 'n42011029023', 'n42011029024')","('if', 'not', 'the', 'sign', 'of Jonah')","('εἰ', 'μὴ', 'τὸ', 'σημεῖον', 'Ἰωνᾶ')",fail,Protasis IDs duplicated,"[('n42011029001', 'Of the', 'Τῶν'), ('n42011029002', 'now', 'δὲ'), ('n42011029003', 'crowds', 'ὄχλων'), ('n42011029004', 'being pressed around together', 'ἐπαθροιζομένων'), ('n42011029005', 'He began', 'ἤρξατο'), ('n42011029006', 'to say', 'λέγειν'), ('n42011029007', 'The', 'Ἡ'), ('n42011029008', 'generation', 'γενεὰ'), ('n42011029009', 'this', 'αὕτη'), ('n42011029010', 'generation', 'γενεὰ'), ('n42011029011', 'an evil', 'πονηρά'), ('n42011029012', 'is', 'ἐστιν'), ('n42011029013', 'a sign', 'σημεῖον'), ('n42011029014', 'it seeks after', 'ζητεῖ'), ('n42011029015', 'and', 'καὶ'), ('n42011029016', 'a sign', 'σημεῖον'), ('n42011029017', 'not', 'οὐ'), ('n42011029018', 'will be given', 'δοθήσεται'), ('n42011029019', 'to it', 'αὐτῇ'), ('n42011029020', 'if', 'εἰ'), ('n42011029021', 'not', 'μὴ'), ('n42011029022', 'the', 'τὸ'), ('n42011029023', 'sign', 'σημεῖον'), ('n42011029024', 'of Jonah', 'Ἰωνᾶ')]"
LUK 12:49,NaN,"('n42012049010', 'n42012049011', 'n42012049012')","('if', 'already', 'it be kindled')","('εἰ', 'ἤδη', 'ἀνήφθη')",NaN,"('n42012049002', 'n42012049003', 'n42012049004', 'n42012049005', 'n42012049006', 'n42012049007', 'n42012049009')","('I came', 'to cast', 'upon', 'the', 'earth', 'and', 'I wish')","('ἦλθον', 'βαλεῖν', 'ἐπὶ', 'τὴν', 'γῆν', 'καὶ', 'θέλω')",fail,Protasis IDs duplicated,"[('n42012049001', 'Fire', 'Πῦρ'), ('n42012049002', 'I came', 'ἦλθον'), ('n42012049003', 'to cast', 'βαλεῖν'), ('n42012049004', 'upon', 'ἐπὶ'), ('n42012049005', 'the', 'τὴν'), ('n42012049006', 'earth', 'γῆν'), ('n42012049007', 'and', 'καὶ'), ('n42012049008', 'how', 'τί'), ('n42012049009', 'I wish', 'θέλω'), ('n42012049010', 'if', 'εἰ'), ('n42012049011', 'already', 'ἤδη'), ('n42012049012', 'it be kindled', 'ἀνήφθη')]"
LUK 13:23,NaN,"('n42013023005', 'n42013023006', 'n42013023007', 'n42013023008', 'n42013023009')","('Lord', 'if', '[are] few', 'those', 'being saved')","('Κύριε', 'εἰ', 'ὀλίγοι', 'οἱ', 'σῳζόμενοι')",NaN,"('n42013023012', 'n42013023013', 'n42013023014')","('He said', 'to', 'them')","('εἶπεν', 'πρὸς', 'αὐτούς')",pass,,"[('n42013023001', 'Said', 'εἶπεν'), ('n42013023002', 'then', 'δέ'), ('n42013023003', 'one', 'τις'), ('n42013023004', 'to Him', 'αὐτῷ'), ('n42013023005', 'Lord', 'Κύριε'), ('n42013023006', 'if', 'εἰ'), ('n42013023007', '[are] few', 'ὀλίγοι'), ('n42013023008', 'those', 'οἱ'), ('n42013023009', 'being saved', 'σῳζόμενοι'), ('n42013023010', '-', 'ὁ'), ('n42013023011', 'And', 'δὲ'), ('n42013023012', 'He said', 'εἶπεν'), ('n42013023013', 'to', 'πρὸς'), ('n42013023014', 'them', 'αὐτούς')]"
LUK 14:28,whether he had enough to complete it?,"('n42014028014', 'n42014028015', 'n42014028016', 'n42014028017')","('whether', 'he has', 'for', '[its] completion')","('εἰ', 'ἔχει', 'εἰς', 'ἀπαρτισμόν')","for which of you, desiring to build a tower, does not first sit down and count the cost","('n42014028001', 'n42014028005', 'n42014028006', 'n42014028007', 'n42014028008', 'n42014028009', 'n42014028010', 'n42014028011', 'n42014028012', 'n42014028013')","('Which', 'desiring', 'a tower', 'to build', 'not', 'first', 'having sat down', 'counts', 'the', 'cost')","('τίς', 'θέλων', 'πύργον', 'οἰκοδομῆσαι', 'οὐχὶ', 'πρῶτον', 'καθίσας', 'ψηφίζει', 'τὴν', 'δαπάνην')",pass,,"[('n42014028001', 'Which', 'τίς'), ('n42014028002', 'for', 'γὰρ'), ('n42014028003', 'of', 'ἐξ'), ('n42014028004', 'you', 'ὑμῶν'), ('n42014028005', 'desiring', 'θέλων'), ('n42014028006', 'a tower', 'πύργον'), ('n42014028007', 'to build', 'οἰκοδομῆσαι'), ('n42014028008', 'not', 'οὐχὶ'), ('n42014028009', 'first', 'πρῶτον'), ('n42014028010', 'having sat down', 'καθίσας'), ('n42014028011', 'counts', 'ψηφίζει'), ('n42014028012', 'the', 'τὴν'), ('n42014028013', 'cost', 'δαπάνην'), ('n42014028014', 'whether', 'εἰ'), ('n42014028015', 'he has', 'ἔχει'), ('n42014028016', 'for', 'εἰς'), ('n42014028017', '[its] completion', 'ἀπαρτισμόν')]"
LUK 14:31,whether he is able with ten thousand to meet him who comes against him with twenty thousand?,"('n42014031014', 'n42014031015', 'n42014031016', 'n42014031017', 'n42014031018', 'n42014031019')","('whether', 'able', 'he is', 'with', 'ten', 'thousand')","('εἰ', 'δυνατός', 'ἐστιν', 'ἐν', 'δέκα', 'χιλιάσιν')","or what king, going out to enounter another king in war, will not sit down first and deliberate","('n42014031011', 'n42014031012', 'n42014031013', 'n42014031020', 'n42014031021', 'n42014031022', 'n42014031023', 'n42014031024', 'n42014031025', 'n42014031026', 'n42014031027')","('having sat down', 'first', 'will take counsel', 'to meet', 'the [one]', 'with', 'twenty', 'thousand', 'coming', 'against', 'him')","('καθίσας', 'πρῶτον', 'βουλεύσεται', 'ὑπαντῆσαι', 'τῷ', 'μετὰ', 'εἴκοσι', 'χιλιάδων', 'ἐρχομένῳ', 'ἐπ’', 'αὐτόν')",pass,,"[('n42014031001', 'Or', 'ἢ'), ('n42014031002', 'what', 'τίς'), ('n42014031003', 'king', 'βασιλεὺς'), ('n42014031004', 'proceeding', 'πορευόμενος'), ('n42014031005', 'with another', 'ἑτέρῳ'), ('n42014031006', 'king', 'βασιλεῖ'), ('n42014031007', 'to engage', 'συμβαλεῖν'), ('n42014031008', 'in', 'εἰς'), ('n42014031009', 'war', 'πόλεμον'), ('n42014031010', 'not', 'οὐχὶ'), ('n42014031011', 'having sat down', 'καθίσας'), ('n42014031012', 'first', 'πρῶτον'), ('n42014031013', 'will take counsel', 'βουλεύσεται'), ('n42014031014', 'whether', 'εἰ'), ('n42014031015', 'able', 'δυνατός'), ('n42014031016', 'he is', 'ἐστιν'), ('n42014031017', 'with', 'ἐν'), ('n42014031018', 'ten', 'δέκα'), ('n42014031019', 'thousand', 'χιλιάσιν'), ('n42014031020', 'to meet', 'ὑπαντῆσαι'), ('n42014031021', 'the [one]', 'τῷ'), ('n42014031022', 'with', 'μετὰ'), ('n42014031023', 'twenty', 'εἴκοσι'), ('n42014031024', 'thousand', 'χιλιάδων'), ('n42014031025', 'coming', 'ἐρχομένῳ'), ('n42014031026', 'against', 'ἐπ’'), ('n42014031027', 'him', 'αὐτόν')]"
LUK 17:18,except this foreigner?,"('nan', 'was there found', 'having returned', 'to give', 'glory', '-', 'to God', 'if', 'not', 'the', 'foreigner', 'this')","('οὐ', 'εὑρέθησαν', 'ὑποστρέψαντες', 'δοῦναι', 'δόξαν', 'τῷ', 'θεῷ', 'εἰ', 'μὴ', 'ὁ', 'ἀλλογενὴς', 'οὗτος')","('n42017018001', 'n42017018002', 'n42017018003', 'n42017018004', 'n42017018005', 'n42017018006', 'n42017018007', 'n42017018008', 'n42017018009', 'n42017018010', 'n42017018011', 'n42017018012')",was no one found to return and give praise to God,"('was no one found', 'to return', 'and give', 'praise', 'to God')","('εὑρέθησαν', 'ὑποστρέψαντες', 'δοῦναι', 'δόξαν', 'θεῷ')","('n42017018002', 'n42017018003', 'n42017018004', 'n42017018005', 'n42017018007')",fail,,"[('n42017018001', 'None', 'οὐ'), ('n42017018002', 'was there found', 'εὑρέθησαν'), ('n42017018003', 'having returned', 'ὑποστρέψαντες'), ('n42017018004', 'to give', 'δοῦναι'), ('n42017018005', 'glory', 'δόξαν'), ('n42017018006', '-', 'τῷ'), ('n42017018007', 'to God', 'θεῷ'), ('n42017018008', 'if', 'εἰ'), ('n42017018009', 'not', 'μὴ'), ('n42017018010', 'the', 'ὁ'), ('n42017018011', 'foreigner', 'ἀλλογενὴς'), ('n42017018012', 'this', 'οὗτος')]"
LUK 17:33,whoever seeks to preserve his life,"('n42017033002', 'n42017033003', 'n42017033004', 'n42017033005', 'n42017033006')","('if', 'may seek', 'the', 'life', 'of him')","('ἐὰν', 'ζητήσῃ', 'τὴν', 'ψυχὴν', 'αὐτοῦ')",will lose it,"('n42017033013', 'n42017033015')","('will lose [it]', 'it')","('ἀπολέσῃ', 'αὐτήν')",pass,,"[('n42017033001', 'Whoever', 'ὃς'), ('n42017033002', 'if', 'ἐὰν'), ('n42017033003', 'may seek', 'ζητήσῃ'), ('n42017033004', 'the', 'τὴν'), ('n42017033005', 'life', 'ψυχὴν'), ('n42017033006', 'of him', 'αὐτοῦ'), ('n42017033007', 'to save', 'περιποιήσασθαι'), ('n42017033008', 'will lose', 'ἀπολέσει'), ('n42017033009', 'it', 'αὐτήν'), ('n42017033010', 'whoever', 'ὃς'), ('n42017033011', nan, 'δ’'), ('n42017033012', '-', 'ἂν'), ('n42017033013', 'will lose [it]', 'ἀπολέσῃ'), ('n42017033014', 'will preserve', 'ζῳογονήσει'), ('n42017033015', 'it', 'αὐτήν')]"
LUK 18:19,except God alone,"('n42018019010', 'n42018019011', 'n42018019012', 'n42018019013', 'n42018019014', 'n42018019015', 'n42018019016')","('No one [is]', 'good', 'if', 'not', 'alone', '-', 'God')","('οὐδεὶς', 'ἀγαθὸς', 'εἰ', 'μὴ', 'εἷς', 'ὁ', 'θεός')",no one is good,"('n42018019009', 'n42018019013', 'n42018019014', 'n42018019015', 'n42018019016')","('good', 'not', 'alone', '-', 'God')","('ἀγαθόν', 'μὴ', 'εἷς', 'ὁ', 'θεός')",pass,,"[('n42018019001', 'Said', 'εἶπεν'), ('n42018019002', 'then', 'δὲ'), ('n42018019003', 'to him', 'αὐτῷ'), ('n42018019004', '-', 'ὁ'), ('n42018019005', 'Jesus', 'Ἰησοῦς'), ('n42018019006', 'Why', 'Τί'), ('n42018019007', 'Me', 'με'), ('n42018019008', 'call you', 'λέγεις'), ('n42018019009', 'good', 'ἀγαθόν'), ('n42018019010', 'No one [is]', 'οὐδεὶς'), ('n42018019011', 'good', 'ἀγαθὸς'), ('n42018019012', 'if', 'εἰ'), ('n42018019013', 'not', 'μὴ'), ('n42018019014', 'alone', 'εἷς'), ('n42018019015', '-', 'ὁ'), ('n42018019016', 'God', 'θεός')]"
